XPath,BNZ__2010,VCR__2013
Number of Records,134.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,0.7761194029850746,0.3333333333333333
/eml:eml/dataset/spatialRaster/attributeList/attribute/attributeDefinition,0.0,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.7761194029850746,0.3333333333333333
/eml:eml/@xsi:schemaLocation,1.0,1.0
/eml:eml/@packageId,1.0,1.0
/eml:eml/@system,1.0,1.0
/eml:eml/access/@authSystem,0.7164179104477612,1.0
/eml:eml/access/@order,0.7164179104477612,1.0
/eml:eml/access/@scope,0.7164179104477612,0.0
/eml:eml/access/allow/permission,0.7164179104477612,1.0
/eml:eml/access/allow/principal,0.7164179104477612,1.0
/eml:eml/dataset/alternateIdentifier,0.0,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.3333333333333333
/eml:eml/dataset/title,1.0,1.0
/eml:eml/dataset/creator/@scope,0.29850746268656714,0.0
/eml:eml/dataset/creator/address/@scope,0.29850746268656714,0.0
/eml:eml/dataset/creator/address/administrativeArea,1.0,1.0
/eml:eml/dataset/creator/address/city,1.0,1.0
/eml:eml/dataset/creator/address/country,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,1.0,1.0
/eml:eml/dataset/creator/address/postalCode,1.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,1.0,1.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0
/eml:eml/dataset/creator/individualName/salutation,0.0,0.3333333333333333
/eml:eml/dataset/creator/individualName/surName,1.0,1.0
/eml:eml/dataset/creator/onlineUrl,0.7164179104477612,0.0
/eml:eml/dataset/creator/organizationName,0.3955223880597015,0.0
/eml:eml/dataset/creator/phone,1.0,1.0
/eml:eml/dataset/creator/phone/@phonetype,1.0,1.0
/eml:eml/dataset/creator/positionName,0.7910447761194029,0.0
/eml:eml/dataset/creator/userId,0.0,1.0
/eml:eml/dataset/creator/userId/@directory,0.0,1.0
/eml:eml/dataset/contact/@id,0.0,1.0
/eml:eml/dataset/contact/@scope,0.29850746268656714,0.0
/eml:eml/dataset/contact/address/@scope,0.29850746268656714,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,1.0,1.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,0.0,1.0
/eml:eml/dataset/contact/individualName/surName,0.0,1.0
/eml:eml/dataset/contact/onlineUrl,1.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,0.0
/eml:eml/dataset/contact/phone,1.0,1.0
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0
/eml:eml/dataset/contact/positionName,1.0,1.0
/eml:eml/dataset/contact/userId,0.0,1.0
/eml:eml/dataset/contact/userId/@directory,0.0,1.0
/eml:eml/dataset/metadataProvider/@scope,0.29850746268656714,0.0
/eml:eml/dataset/metadataProvider/address/@scope,0.29850746268656714,0.0
/eml:eml/dataset/metadataProvider/address/administrativeArea,1.0,1.0
/eml:eml/dataset/metadataProvider/address/city,1.0,1.0
/eml:eml/dataset/metadataProvider/address/country,1.0,1.0
/eml:eml/dataset/metadataProvider/address/deliveryPoint,1.0,1.0
/eml:eml/dataset/metadataProvider/address/postalCode,1.0,1.0
/eml:eml/dataset/metadataProvider/electronicMailAddress,1.0,0.0
/eml:eml/dataset/metadataProvider/onlineUrl,1.0,1.0
/eml:eml/dataset/metadataProvider/organizationName,1.0,1.0
/eml:eml/dataset/metadataProvider/phone,1.0,1.0
/eml:eml/dataset/metadataProvider/phone/@phonetype,1.0,1.0
/eml:eml/dataset/metadataProvider/positionName,1.0,0.0
/eml:eml/dataset/associatedParty/@scope,0.2388059701492537,0.0
/eml:eml/dataset/associatedParty/address/@scope,0.2388059701492537,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,0.7910447761194029,0.0
/eml:eml/dataset/associatedParty/address/city,0.7910447761194029,0.0
/eml:eml/dataset/associatedParty/address/country,0.7686567164179104,0.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,0.7910447761194029,0.0
/eml:eml/dataset/associatedParty/address/postalCode,0.7910447761194029,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,0.7910447761194029,0.0
/eml:eml/dataset/associatedParty/individualName/surName,0.7910447761194029,0.0
/eml:eml/dataset/associatedParty/phone,0.7910447761194029,0.0
/eml:eml/dataset/associatedParty/phone/@phonetype,0.7910447761194029,0.0
/eml:eml/dataset/associatedParty/positionName,0.7388059701492538,0.0
/eml:eml/dataset/associatedParty/role,0.7910447761194029,0.0
/eml:eml/dataset/publisher/@scope,0.29850746268656714,0.0
/eml:eml/dataset/publisher/address/@scope,0.29850746268656714,0.0
/eml:eml/dataset/publisher/address/administrativeArea,1.0,1.0
/eml:eml/dataset/publisher/address/city,1.0,1.0
/eml:eml/dataset/publisher/address/country,1.0,1.0
/eml:eml/dataset/publisher/address/deliveryPoint,1.0,1.0
/eml:eml/dataset/publisher/address/postalCode,1.0,1.0
/eml:eml/dataset/publisher/onlineUrl,0.0,1.0
/eml:eml/dataset/publisher/organizationName,1.0,1.0
/eml:eml/dataset/publisher/phone,1.0,1.0
/eml:eml/dataset/publisher/phone/@phonetype,1.0,1.0
/eml:eml/dataset/pubDate,1.0,1.0
/eml:eml/dataset/abstract/para,0.7164179104477612,1.0
/eml:eml/dataset/abstract/para/literalLayout,0.2835820895522388,0.0
/eml:eml/dataset/keywordSet/keyword,1.0,1.0
/eml:eml/dataset/keywordSet/keyword/@keywordType,0.0,1.0
/eml:eml/dataset/keywordSet/keywordThesaurus,1.0,1.0
/eml:eml/dataset/intellectualRights/section/para,0.7164179104477612,1.0
/eml:eml/dataset/intellectualRights/section/para/emphasis,0.0,1.0
/eml:eml/dataset/intellectualRights/section/para/literalLayout,0.2835820895522388,0.0
/eml:eml/dataset/intellectualRights/section/para/orderedlist/listitem/para,0.0,1.0
/eml:eml/dataset/intellectualRights/section/title,1.0,1.0
/eml:eml/dataset/dataTable/physical/distribution/@scope,0.2164179104477612,0.0
/eml:eml/dataset/dataTable/physical/distribution/access/@authSystem,0.0,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/access/@order,0.0,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/access/allow/permission,0.0,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/access/allow/principal,0.0,0.3333333333333333
